Code,Site,ICD,ICD Code,Sex,Year at death,All ages,0-4 yrs.,5-9 yrs.,10-14 yrs.,15-19 yrs.,20-24 yrs.,25-29 yrs.,30-34 yrs.,35-39 yrs.,40-44 yrs.,45-49 yrs.,50-54 yrs.,55-59 yrs.,60-64 yrs.,65-69 yrs.,70-74 yrs.,75-79 yrs.,80-84 yrs.,85+ yrs.
1,All cancers,ICD-8,140-209,Both,1970,116.347598330000000 ,7.626265865800000 ,4.901232752600000 ,4.346552837400000 ,6.423367722800000 ,8.041585948000000 ,13.322831460000000 ,22.599301535000000 ,38.943064188000000 ,66.987689267000000 ,112.950678950000000 ,182.018955510000000 ,295.749100800000000 ,456.829380910000000 ,673.001776920000000 ,881.682114120000000 ,1042.033668000000000 ,1003.736447100000000 ,761.113407930000000 
1,All cancers,ICD-8,140-209,Both,1971,117.734438640000000 ,6.846808052500000 ,5.070739952400000 ,4.782833505700000 ,5.896116050500000 ,6.860016162300000 ,13.140051438000000 ,22.323327818000000 ,39.057604242000000 ,67.029277464000000 ,107.491486950000000 ,180.990546650000000 ,290.657983380000000 ,447.557508400000000 ,670.767151060000000 ,888.744394620000000 ,1042.772861400000000 ,1026.883308700000000 ,791.025641030000000 
1,All cancers,ICD-8,140-209,Both,1972,120.386412210000000 ,7.515856236800000 ,5.852293466400000 ,4.429892141800000 ,5.793053194100000 ,7.820345917800000 ,13.683738653000000 ,22.164351852000000 ,37.336689440000000 ,66.052769070000000 ,109.747847480000000 ,178.038507820000000 ,291.487455200000000 ,444.703815260000000 ,670.361842110000000 ,892.106392110000000 ,1074.533715900000000 ,1050.927246800000000 ,890.062111800000000 
1,All cancers,ICD-8,140-209,Both,1973,121.174326190000000 ,6.868748724200000 ,5.214327657100000 ,4.313922777000000 ,5.923000987200000 ,7.392197125300000 ,12.209241133000000 ,21.462317210000000 ,37.852972715000000 ,66.514748702000000 ,108.931185940000000 ,173.752628560000000 ,283.447817420000000 ,436.250305550000000 ,652.103250480000000 ,892.563681180000000 ,1082.424242400000000 ,1120.873124100000000 ,901.445086710000000 
1,All cancers,ICD-8,140-209,Both,1974,122.247509370000000 ,6.390033155800000 ,4.937421058700000 ,4.373359990000000 ,5.515348140800000 ,7.116615933700000 ,12.389823718000000 ,20.807184592000000 ,36.553556334000000 ,64.724959461000000 ,107.622684200000000 ,170.110167960000000 ,279.741186970000000 ,431.265031270000000 ,645.751833740000000 ,897.916666670000000 ,1095.903771100000000 ,1129.986790000000000 ,919.565217390000000 
1,All cancers,ICD-8,140-209,Both,1975,122.589800060000000 ,6.955387380400000 ,4.843975547600000 ,4.268310627000000 ,5.613282115200000 ,7.638123472900000 ,11.947563801000000 ,22.036815186000000 ,36.126926173000000 ,62.032641136000000 ,107.108336880000000 ,170.536374390000000 ,276.365817470000000 ,413.594069840000000 ,631.699913720000000 ,879.196034540000000 ,1065.147901200000000 ,1111.112487400000000 ,909.778387320000000 
1,All cancers,ICD-8,140-209,Both,1976,125.327343890000000 ,6.331833060600000 ,5.169112954700000 ,4.635925330700000 ,5.685447808900000 ,6.838303821100000 ,11.945031712000000 ,21.146584277000000 ,35.739354235000000 ,61.525525526000000 ,107.989828690000000 ,169.039087950000000 ,275.767263430000000 ,416.045380880000000 ,618.563535910000000 ,888.108320250000000 ,1087.841768500000000 ,1172.631578900000000 ,942.857142860000000 
1,All cancers,ICD-8,140-209,Both,1977,128.434611760000000 ,6.247379454900000 ,4.911694011900000 ,4.429546270800000 ,5.377024291500000 ,6.968810916200000 ,11.869244936000000 ,20.385462555000000 ,34.483941022000000 ,60.577152397000000 ,108.925318760000000 ,171.519676470000000 ,262.882994040000000 ,420.681713500000000 ,616.869095820000000 ,877.122464310000000 ,1118.591859200000000 ,1184.868421100000000 ,997.911832950000000 
1,All cancers,ICD-8,140-209,Both,1978,131.285204040000000 ,6.107119529700000 ,4.743406256400000 ,4.056581716200000 ,5.815852279900000 ,6.231231231200000 ,11.908023483000000 ,21.217173822000000 ,34.297197722000000 ,59.338428469000000 ,105.617118840000000 ,169.994067040000000 ,266.080600550000000 ,408.580630320000000 ,616.237519710000000 ,884.287276700000000 ,1128.315789500000000 ,1207.471852600000000 ,1038.695652200000000 
1,All cancers,ICD-9,140-208 ,Both,1979,135.678344090000000 ,5.826896865100000 ,4.758544208100000 ,4.020100502500000 ,5.505617977500000 ,6.952141057900000 ,11.274302620000000 ,19.308700834000000 ,34.322442421000000 ,58.899637243000000 ,106.841906680000000 ,172.475755850000000 ,266.337371850000000 ,411.095603630000000 ,608.438061040000000 ,891.933240610000000 ,1164.923857900000000 ,1257.281553400000000 ,1088.152610400000000 
